company_code,employee_name,employee_role
dri,Kyle Holmes,Managing Partner
dri,Jon Norem,Managing Partner
dri,John Rucker,Managing Partner
dri,Rajesh Vennam,"Senior Vice President, Chief Financial Officer and Treasurer"
dri,Christopher Chang,Senior Vice President and Chief Information Officer
dri,Kevin Kalicak,Vice President of Investor Relations and Corporate Analysis
dva,Javier J. Rodriguez,Chief Executive Officer and Executive Director
dva,Joel Ackerman,Chief Financial Officer and Treasurer
dva,Kathleen Alyce Waters,Chief Legal Officer
dva,Michael David Staffieri,Chief Operating Officer of Kidney Care
dva,LeAnne M. Zumwalt,Group Vice President of Purchasing and Public Affairs
dva,John D. Winstel,Chief Accounting Officer
dva,Jim Gustafson,Vice President of Investor Relations
dva,James O. Hearty,Chief Compliance Officer
dva,Bill Myers,Vice President of Marketing and Communications
dva,Kenny Gardner,Chief People Officer
de,John C. May II,"Chairman, President and Chief Executive Officer"
de,Ryan D. Campbell,Senior Vice President and Chief Financial Officer
de,Rajesh Kalathur,Chief Information Officer
de,Mary K. W. Jones,"Chief Legal Officer, Senior Vice President, General Counsel and Worldwide Public Affairs"
de,Cory J. Reed,"President of Worldwide Ag and Turf Division, Production and Precision Ag for Americas and Australia"
de,Jeffrey A. Trahan,Vice President of Pension Fund and Investments
de,Jahmy J. Hindman,Chief Technology Officer
de,Marc Allen Howze,Group President of Lifecycle Solutions and Chief Administrative Officer
de,Josh Jepsen,Director of Investor Relations
de,Renee A. Mailhot,Vice President and Chief Compliance Officer
dal,Edward H. Bastian,Chief Executive Officer and Director
dal,Glen W. Hauenstein,President
dal,Peter W. Carter,"Executive Vice President, Chief Legal Officer and Corporate Secretary"
dal,Garrett L. Chase,Senior Vice President of Business Development and Financial Planning and Co-Chief Financial Officer
dal,William Charles Carroll,Co-Chief Financial Officer and Principal Accounting Officer
dal,John Laughter,Senior Vice President of Flight Operations and Chief of Operations
dal,Don Mitacek,Senior Vice President of Technical Operations
dal,Rahul Samant,Executive Vice President and Chief Information Officer
dal,Jill Sullivan Greer,Vice President of Investor Relations
dal,Tim Mapes,Senior Vice President and Chief Marketing and Communications Officer
xray,Donald M. Casey Jr.,Chief Executive Officer and Director
xray,Jorge M. Gomez,Executive Vice President and Chief Financial Officer
xray,Keith John Ebling,"Executive Vice President, General Counsel and Secretary"
xray,Walter Petersohn,Senior Vice President and Chief Commercial Officer
xray,Ranjit S. Chadha,Chief Accounting Officer
xray,Cord Friedrich Staehler,Senior Vice President of Digital Platforms and Solutions and Chief Technology Officer
xray,"John Sweeney C.F.A., CFA",Vice President of Investor Relations
xray,Lisa M. Yankie,Senior Vice President and Chief Human Resources Officer and Communications
xray,Chidam Alagappa Chidambaram,"Senior Vice President, Chief Marketing Officer and Chief Digital Officer"
xray,Dr. Albert J. Sterkenburg,Senior Vice President
dvn,Jeffrey L. Ritenour,Executive Vice President and Chief Financial Officer
dvn,Tana K. Cashion,Senior Vice President of Human Resources and Administrative
dvn,David Gerard Harris,"Executive Vice President, Chief Corporate Development Officer and Executive Vice President of Exploration and Production"
dvn,Richard E. Muncrief,"President, Chief Executive Officer and Director"
dvn,J. Larry Nichols,Co-Founder and Chairman Emeritus
dvn,Clay M. Gaspar,Executive Vice President and Chief Operating Officer
dvn,Jeremy D. Humphers,Senior Vice President and Chief Accounting Officer
dvn,Alana Tetrick,Vice President of Corporate Finance and Treasurer
dvn,Trey Lowe,Vice President of Technology
dvn,Scott Coody,Vice President of Investor Relations
dxcm,Kevin Ronald Sayer,"Executive Chairman, Chief Executive Officer and Pres"
dxcm,Quentin S. Blackford,Chief Operating Officer
dxcm,Jacob Steven Leach,Executive Vice President and Chief Technology Officer
dxcm,Jereme M. Sylvain,"Executive Vice President, Chief Financial Officer and Chief Accounting Officer"
dxcm,Sean Christensen,Director of Corporate Affairs and Head of Investor Relations
dxcm,Patrick Michael Murphy,Executive Vice President and Chief Legal Officer
dxcm,Chad M. Patterson,Executive Vice President of Global Marketing
dxcm,Sadie M. Stern,Executive Vice President and Chief Human Resources Officer
dxcm,Andrew K. Balo,"Executive Vice President of Regulatory Strategy, Clinical Affairs and Strategic Partnership Development"
dxcm,Donald M. Abbey,"Executive Vice President of Global Business Services, IT, Quality and Regulatory Affairs"
fang,Travis D. Stice,Chief Executive Officer and Director
fang,Matthew Kaes Van't Hof,Chief Financial Officer and Executive Vice President of Business Development
fang,Teresa L. Dick,"Chief Accounting Officer, Executive Vice President and Assistant Secretary"
fang,P. Matt Zmigrosky,"Executive Vice President, General Counsel and Secretary"
fang,Russell D. Pantermuehl,Executive Vice President and Chief Engineer
fang,Thomas F. Hawkins,Executive Vice President of Land
fang,Daniel N. Wesson,Executive Vice President of Operations
fang,Adam T. Lawlis,Vice President of Investor Relations
fang,Jennifer Soliman,Executive Vice President and Chief Human Resources Officer
fang,David L. Cannon,Senior Vice President of Geoscience and Technology
dlr,Arthur William Stein,Chief Executive Officer and Director
dlr,Andrew P. Power,Chief Financial Officer
dlr,Erich J. Sanchack,Executive Vice President of Operations
dlr,Gregory S. Wright,Chief Investment Officer
dlr,Corey Dyer,Executive Vice President of Global Sales and Marketing
dlr,Matthew Mercier,Senior Vice President of Finance and Accounting
dlr,Christopher Sharp,Chief Technology Officer
dlr,Edward A. Diver,Chief Information Officer
dlr,John J. Stewart CFA,Senior Vice President of Investor Relations
dlr,Joshua Ananda Mills,"Executive Vice President, General Counsel and Secretary"
dfs,Roger Crosby Hochschild,"Chief Executive Officer, President and Director"
dfs,John Thomas Greene,Executive Vice President and Chief Financial Officer
dfs,Carlos M. Minetti,Executive Vice President and President of Consumer Banking
dfs,Diane E. Offereins,Executive Vice President and President of Payment Services
dfs,Shifra Kolsky,"Chief Accounting Officer, Senior Vice President and Controller"
dfs,Amir S. Arooni,Executive Vice President and Chief Information Officer
dfs,R. Andrew Eichfeld,Executive Vice President and Chief Human Resources and Administrative Officer
dfs,Wanjiku Juanita Walcott,"Executive Vice President, Chief Legal Officer and General Counsel"
dfs,Leslie Sutton,Vice President of Corporate Communications
dfs,Brian D. Hughes,Executive Vice President and Chief Risk Officer
disca,David M. Zaslav,"President, Chief Executive Officer and Director"
disca,Dr. Gunnar Wiedenfels,Chief Financial Officer
disca,Bruce L. Campbell,"Chief Development, Distribution and Legal Officer"
disca,Jean-Briac Perrette,Chief Executive Officer and President of Discovery International
disca,David C. Leavy,Chief Corporate Operating Officer
disca,Lori C. Locke,Chief Accounting Officer and Executive Vice President
disca,Avi Saxena,Chief Technology Officer of Direct-to-Consumer
disca,Jackie Burka,"Senior Vice President, Investor Relations"
disca,Adria Alpert Romm,Chief People and Culture Officer
disca,Albert E. Rosenthaler,Senior Vice President
disck,David M. Zaslav,"President, Chief Executive Officer and Director"
disck,Dr. Gunnar Wiedenfels,Chief Financial Officer
disck,Bruce L. Campbell,"Chief Development, Distribution and Legal Officer"
disck,Jean-Briac Perrette,Chief Executive Officer and President of Discovery International
disck,David C. Leavy,Chief Corporate Operating Officer
disck,Lori C. Locke,Chief Accounting Officer and Executive Vice President
disck,Avi Saxena,Chief Technology Officer of Direct-to-Consumer
disck,Jackie Burka,"Senior Vice President, Investor Relations"
disck,Adria Alpert Romm,Chief People and Culture Officer
disck,Albert E. Rosenthaler,Senior Vice President
dish,Charles William Ergen,Co-Founder and Executive Chairman
dish,W. Erik Carlson,President and Chief Executive Officer
dish,Paul W. Orban,Executive Vice President and Chief Financial Officer
dish,John W. Swieringa,"Executive Vice President,Group President of Retail Wireless and Chief Operating Officer"
dish,Thomas A. Cullen,Executive Vice President of Corporate Development
dish,James DeFranco,"Co-Founder, Executive Vice President and Director"
dish,James S. Allen,Senior Vice President and Chief Accounting Officer
dish,Kannan Alagappan,Senior Vice President and Chief Technology Officer
dish,Atilla Tinic,Senior Vice President and Chief Information Officer
dish,Kyle Jason Kiser,Investor Relations Contact and Treasurer
dg,Todd J. Vasos,Chief Executive Officer and Director
dg,John W. Garratt,Executive Vice President and Chief Financial Officer
dg,Jeffery Carl Owen,Chief Operating Officer
dg,Rhonda M. Taylor,Executive Vice President and General Counsel
dg,Anita C. Elliott,Senior Vice President and Chief Accounting Officer
dg,Julie Elmore,Vice President and Chief Technology Officer
dg,Carman R. Wenkoff,Executive Vice President and Chief Information Officer
dg,Donny Lau,Vice President of Investor Relations and Corporate Strategy
dg,Christine L. Connolly,Chief Compliance Officer and Corporate Secretary
dg,Kathleen A. Reardon,Executive Vice President and Chief People Officer
dltr,Bobby L. Sasser,Executive Chairman
dltr,Michael A. Witynski,"President, Chief Executive Officer and Director"
dltr,Kevin S. Wampler,Chief Financial Officer
dltr,William A. Old Jr.,"Chief Legal Officer, General Counsel and Corporate Secretary"
dltr,H. Ray Compton,Co-Founder
dltr,Thomas R. O'Boyle Jr.,Enterprise Chief Operating Officer
dltr,Kathleen E. Mallas,Senior Vice President and Principal Accounting Officer
dltr,James A. Paisley,Chief Information Officer
dltr,Randy Guiler,Vice President of Investor Relations
dltr,Betty J. Click,Chief Human Resources Officer
d,Thomas F. Farrell II,Executive Chairman
d,Robert M. Blue,"President, Chief Executive Officer and Director"
d,James R. Chapman,"Executive Vice President, Chief Financial Officer and Treasurer"
d,Diane G. Leopold,Executive Vice President and Chief Operating Officer
d,Carlos M. Brown,"Senior Vice President, General Counsel and Chief Compliance Officer"
d,Daniel G. Stoddard,"Senior Vice President, Chief Nuclear Officer and President of Contracted Assets"
d,Michele L. Cardiff,"Senior Vice President, Controller and Chief Accounting Officer"
d,Joshua J. Bennett,"Vice President, Offshore Wind"
d,Thomas E. Hamlin CFA,Vice President of Investor Relations and Financial Planning
d,William L. Murray,Senior Vice President of Corporate Affairs and Communications
dpz,Richard E. Allison Jr.,"President, Chief Executive Officer and Director"
dpz,Stuart A. Levy,Executive Vice President and Chief Financial Officer
dpz,Russell J. Weiner,Chief Operating Officer and President of Domino's U.S
dpz,Kevin Scott Morris,"Executive Vice President, General Counsel and Corporate Secretary"
dpz,Joseph Hugh Jordan,Executive Vice President of International
dpz,Kelly E. Garcia,Executive Vice President and Chief Technology Officer
dpz,Chris Brandon,Director of Investor Relations
dpz,Timothy P. McIntyre,Executive Vice President of Communications and Legislative Affairs
dpz,Arthur P. D'Elia,Executive Vice President and Chief Marketing Officer
dpz,Lisa V. Price,Executive Vice President and Chief Human Resources Officer
dov,Richard Joseph Tobin,"President, Chief Executive Officer and Director"
dov,Brad M. Cerepak,Senior Vice President and Chief Financial Officer
dov,David J. Malinas,Senior Vice President of Operations
dov,Ivonne M. Cabrera,"Senior Vice President, General Counsel and Secretary"
dov,Girish Juneja,Senior Vice President and Chief Digital Officer
dov,Ryan W. Paulson,"Principal Accounting Officer, Vice President and Controller"
dov,Andrey Galiuk,Vice President of Corporate Development and Investor Relations
dov,Adrian W. Sakowicz,Vice President of Communications
dov,Kimberly K. Bors,Senior Vice President of Human Resources
dov,Russell E. Toney,Senior Vice President of Global Sourcing
dow,James R. Fitterling,Chairman and Chief Executive Officer
dow,Howard I. Ungerleider,President and Chief Financial Officer
dow,Attiganal Narayanaswam Sreeram,Senior Vice President of Research & Development and Chief Technology Officer
dow,Amy E. Wilson,General Counsel and Corporate Secretary
dow,John Maurice Sampson,"Senior Vice President of Operations, Manufacturing and Engineering"
dow,Melanie Kalmar,"Corporate Vice President, Chief Information Officer and Chief Digital Officer"
dow,Colleen Kay,Vice President of Investor Relations
dow,Torsten Kraef,Senior Vice President of Corporate Development
dow,Karen S. Carter,Chief Human Resources Officer and Chief Inclusion Officer
dow,Jack Broodo,Business President of Feedstocks and Energy
dte,Gerard M. Anderson,Executive Chairman and Advisor to the Chief Executive Officer
